Date,Description,Amount Debit,Amount Credit,Balance
3/31/2026,TST MACAYOS - LI LITCHFIELD PA AZ 525516 57 207601 XX4271 DEBIT CARD 03/30 21:40,-59.43,,635.64
3/30/2026,GOOGLE  THE TOWE MOUNTAIN VIEW CA 649258 86 038658 XX4271 DEBIT CARD 03/30 12:46,-10.94,,695.07
3/30/2026,GOOGLE  THE TOWE MOUNTAIN VIEW CA 649258 86 597559 XX4271 DEBIT CARD 03/30 14:10,-10.94,,706.01
3/26/2026,FRYS #692 BUCKEYE AZ 58389389 393838 XX4 271 DEBIT CARD03/25 14:09,-143.21,,716.95
3/25/2026,SAFI FRESH KANSAS CITY MO 12674045 82650 5 XX4271 DEBITCARD 03/24 06:15,-37.62,,860.16
3/25/2026,ENROUTE COFFEE A GOODYEAR AZ 01419277 93 6944 XX4271 DEBIT CARD 03/24 11:05,-29.56,,897.78
3/25/2026,PARISI CAFE KANSAS CITY MO 91134780 4337 07 XX4271 DEBIT CARD 03/24 05:58,-16.2,,927.34
3/25/2026,GOOGLE  DASHNET MOUNTAIN VIEW CA 6492588 6 547944 XX4271 DEBIT CARD 03/24 18:00,-6.01,,943.54
3/24/2026,TST ASIAN PEARL OLATHE KS 67247232 87709 8 XX4271 DEBITCARD 03/23 21:35,-25.41,,949.55
3/24/2026,AMERICAN UNITED STATES AZ 30545772 17240 2 XX4271 DEBITCARD 03/23 09:48,-35,,974.96
3/24/2026,CIRCLE K 01198 7 BUCKEYE AZ 0007 259496 XX4271 DEBIT CARD 03/24 13:50,-66.81,,1009.96
3/23/2026,HY-VEE F&F OLATH OLATHE KS 91637362 4845 71 XX4271 DEBIT CARD 03/22 13:21,-31.97,,1076.77
3/23/2026,QT 219 OLATHE KS 42030548 498360 XX4271 DEBIT CARD 03/19 22:05,-2.04,,1108.74
3/23/2026,COSTCO WHSE #03 LENEXA KS 99034914 08405 4 XX4271 POS PINNED 03/22 12:59,-3.28,,1110.78
3/23/2026,HY-VEE OLATHE 14 OLATHE KS 600001 030374 XX4271 DEBITCARD 03/20 18:06,-44.79,,1114.06
3/23/2026,VENMO CASHOUT 1049100450317,,42,1158.85
3/23/2026,COSTCO WHSE #03 LENEXA KS 99034914 51306 3 XX4271 POS PINNED 03/22 12:58,-115.89,,1116.85
3/23/2026,BASS PRO STORE O OLATHE KS 03026041 6477 34 XX4271 POSPINNED 03/21 16:22,-187.79,,1232.74
3/20/2026,GARMIN INTL. INC PAYROLL 938639181956VT5,,1246.36,1420.53
3/19/2026,XX4271 DEBIT CARD 03/18 18:01 GARMININTL 21810 OLATHEKS 97021214 788388,-782.74,,174.17
3/18/2026,CHASE CREDIT CRD EPAY 9210210469,-200,,956.91
3/17/2026,VENMO PAYMENT 1048966405334,-50,,1156.91
3/13/2026,CAPITAL ONE TRANSFER RT0BBA9312228CB,,1000,1206.91
3/13/2026,CAPITAL ONE ONLINE PMT CA06AFEDCFBF563,-67.02,,206.91
3/13/2026,HY-VEE OLATHE 14 OLATHE KS 600001 039969 XX4271 DEBITCARD 03/12 17:20,-1.91,,273.93
3/13/2026,OPENAI OPENAI *CH ST-Q8C9C3K0V7X6,-20,,275.84
3/12/2026,TST ASIAN PEARL OLATHE KS 48255143 43696 7 XX4271 DEBITCARD 03/11 21:31,-34.21,,295.84
3/12/2026,FID BKG SVC LLC MONEYLINE 25897965014BHH L,-10,,330.05
3/12/2026,HY-VEE OLATHE 14 OLATHE KS 42863234 4246 99 XX4271 DEBIT CARD 03/11 18:53,-154.75,,340.05
3/12/2026,VCN KDOROLATHECT OLATHE KS 47115248 3828 38 XX4271 DEBIT CARD 03/11 12:25,-21.25,,494.8
3/10/2026,ADC_3583_1855752 OLATHE KS 07453078 0608 92 XX4271 DEBIT CARD 03/09 13:08,-12.03,,516.05
3/9/2026,CAPITAL ONE MOBILE PMT CA0B07EFE0F6C70,-45.19,,528.08
3/9/2026,CAPITAL ONE MOBILE PMT CA0556F94550BA3,-769.93,,573.27
3/6/2026,GARMIN INTL. INC PAYROLL 734076558015VT5,,1246.37,1343.2
3/5/2026,CAPITAL ONE MOBILE PMT CA089507C5F45C5,-3500,,96.83
3/2/2026,VENMO PAYMENT 1048567616301,-24,,3596.83
2/26/2026,REVERSE DISPUTE CREDIT 51211956 3115,-170.66,,3620.83
2/26/2026,REVERSE DISPUTE CREDIT 51211956 3115,-170.66,,3791.49
2/26/2026,REVERSE DISPUTE CREDIT 51211956 3115,-170.66,,3962.15
2/24/2026,CHASE CREDIT CRD AUTOPAY 000000000549330,-41,,4132.81
2/23/2026,CAPITAL ONE TRANSFER RT0BB1C170754DA,-20.7,,4173.81
2/20/2026,GARMIN INTL. INC PAYROLL 796100873047VT5,,2469.62,4194.51
2/20/2026,VENMO CASHOUT 1048397983260,,300,1724.89
